Wall time,Step,Value
1553117408.2427032,82688,0.0011580465361475945
1553117409.605108,82944,-0.0206269733607769
1553117411.042389,83200,-0.0024179613683372736
1553117412.490479,83456,-0.010383760556578636
1553117413.83659,83712,-0.004260828718543053
1553117415.243444,83968,0.0034396443516016006
1553117420.026301,84736,0.0012547931401059031
1553117421.501306,84992,0.0065170577727258205
1553117424.356752,85504,-0.0006800590781494975
1553117427.220209,86016,0.01243586279451847
1553117430.0075378,86528,0.00010775176633615047
1553117432.8993962,87040,0.0044553535990417
1553117436.2800808,87552,0.005127786658704281
1553117437.704366,87808,-0.0016527693951502442
1553117439.105182,88064,-0.014462816528975964
1553117440.4958389,88320,0.006385209504514933
1553117441.894531,88576,0.011344341561198235
1553117443.299668,88832,0.0020987307652831078
1553117444.72452,89088,0.010565940290689468
1553117446.131974,89344,-0.00045562488958239555
1553117447.592428,89600,0.005216007120907307
1553117451.063471,90112,0.017361950129270554
1553117453.897532,90624,0.005722478963434696
1553117455.3298318,90880,0.0002281277411384508
1553117458.223043,91392,0.004044434987008572
1553117461.073515,91904,-0.005483646411448717
1553117462.561074,92160,-0.0072100721299648285
1553117464.4603531,92416,0.009698177687823772
1553117465.894976,92672,-0.009247061796486378
1553117467.375251,92928,-0.018993569537997246
1553117468.745568,93184,-0.01046771090477705
1553117470.1790879,93440,-0.004350655246526003
1553117471.589636,93696,-0.01147313043475151
1553117473.0022342,93952,0.00048055447405204177
1553117474.4121358,94208,0.0012419281993061304
1553117475.834708,94464,0.009349189698696136
1553117479.244304,94976,0.0012257901253178716
1553117480.718215,95232,-0.008221079595386982
1553117483.509129,95744,0.0007478141924366355
1553117486.244529,96256,-0.004904271103441715
1553117487.655029,96512,0.00294251530431211
1553117489.024086,96768,0.010712801478803158
1553117490.415166,97024,0.0014595870161429048
1553117491.815723,97280,0.00857723318040371
1553117495.18495,97792,0.005718318745493889
1553117496.554354,98048,-0.002095061121508479
1553117499.429923,98560,-0.0004119342193007469
1553117500.8528152,98816,0.0039530424401164055
1553117502.296256,99072,-0.004113206639885902
1553117503.668349,99328,-0.007591776549816132
1553117505.0347,99584,-0.002126178238540888
1553117508.398247,100096,-0.00179333018604666
1553117509.8612962,100352,0.0003054883854929358
1553117511.464761,100608,0.00048221374163404107
1553117512.959157,100864,-0.00380641664378345
1553117519.9627578,102144,-0.00563026824966073
1553117521.314303,102400,-0.006253720726817846
1553117524.6535401,102912,0.0020518647506833076
1553117526.070982,103168,0.0041267708875238895
1553117527.4396741,103424,-0.003103901632130146
1553117530.2124212,103936,0.0015211508143693209
1553117531.621344,104192,0.001300500356592238
1553117534.444997,104704,-0.005140178836882114
1553117537.7318778,105216,0.007393637206405401
1553117544.7250502,106496,-0.0038954508490860462
1553117546.094444,106752,-0.013204820454120636
1553117550.2236428,107520,0.002791481791064143
1553117552.2550058,107776,0.0038615104276686907
1553117553.6201432,108032,0.0028799567371606827
1553117555.067612,108288,0.0021429969929158688
1553117556.42507,108544,0.010927395895123482
1553117557.815216,108800,0.005369735881686211
1553117560.584005,109312,-0.004832484759390354
1553117563.3353941,109824,0.003618124406784773
1553117566.615974,110336,-0.0024397566448897123
1553117569.423593,110848,0.013144971802830696
1553117573.8439732,111616,0.0037760972045361996
1553117575.2028108,111872,-0.008211705833673477
1553117579.39584,112640,-0.001216055010445416
1553117581.355167,112896,0.0035455268807709217
1553117582.792934,113152,-0.005411110352724791
1553117584.167789,113408,0.002937599318102002
1553117586.8682802,113920,-0.006466577760875225
1553117588.324519,114176,-0.003767625195905566
1553117592.4870899,114944,-0.015008604153990746
1553117593.83298,115200,0.0030428648460656404
1553117597.157808,115712,0.012074535712599754
1553117601.415488,116480,-0.003274239134043455
1553117602.792892,116736,8.226697900681756e-06
1553117605.5621178,117248,-0.008985155262053013
1553117606.9391592,117504,0.007545447908341885
1553117608.379762,117760,0.008995604701340199
1553117610.3683589,118016,0.0063191489316523075
1553117611.7716029,118272,0.005610908381640911
1553117613.330477,118528,0.009084786288440228
1553117614.842013,118784,-0.006700952537357807
1553117616.854881,119040,-0.00727115198969841
1553117618.788363,119296,-0.0017691425746306777
1553117620.99919,119552,-0.0019877576269209385
1553117622.54445,119808,0.0011481415713205934
1553117624.286814,120064,0.008661969564855099
1553117626.057643,120320,-0.0005944547010585666
1553117631.921793,120832,0.002480261493474245
1553117635.745663,121344,-0.006953732576221228
1553117638.077028,121600,-0.002906435402110219
1553117643.4244952,122368,0.0011263961205258965
1553117644.948666,122624,0.007453600876033306
1553117654.7919302,123648,-0.005455631297081709
1553117661.935742,124416,0.008525562472641468
1553117665.350098,124672,0.0015474299434572458
1553117670.465173,125184,0.004427092615514994
1553117672.782322,125440,-0.0074074650183320045
1553117678.058271,125952,0.006280320696532726
1553117680.083168,126208,-0.0026329574175179005
1553117682.663498,126464,0.005337837152183056
1553117690.4437,127232,0.003122547175735235
1553117692.990276,127488,0.009042283520102501
1553117698.309908,128000,0.00489145889878273
1553117708.715086,129024,-0.001086407108232379
1553117710.749561,129280,-0.0076462579891085625
1553117714.96112,129792,0.0014694288838654757
1553117716.763053,130048,0.006016425788402557
1553117718.647558,130304,-0.006887834519147873
1553117720.454397,130560,-0.0037824329920113087
1553117723.041621,130816,-0.0008665507775731385
1553117724.8574662,131072,0.005294645205140114
1553117727.147242,131328,0.0061586047522723675
1553117730.8660018,131840,-0.00933750532567501
1553117732.8101618,132096,0.0016390628879889846
